Sr. No.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,,
,512906,NAJAFGARH,28.538967,77.124796,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.539055,77.12464,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.539089,77.124792,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.539122,77.124834,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.539636,77.124056,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.539021,77.124113,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.538455,77.124123,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538427,77.124131,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538198,77.12413,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.538188,77.124002,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538175,77.123978,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538167,77.123957,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538203,77.123963,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538337,77.123983,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538502,77.123977,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.538549,77.123982,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538632,77.123978,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.538632,77.123978,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.538167,77.123773,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538164,77.123678,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.538164,77.123613,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538133,77.123542,LED,2,40X2,144,40,80,,,,
,512906,NAJAFGARH,28.538131,77.123535,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53812,77.12353,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538087,77.12356,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537988,77.123555,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537932,77.123566,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537722,77.123371,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537713,77.123348,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537714,77.123344,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537762,77.12322,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53777,77.123202,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537878,77.123187,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537765,77.123006,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537774,77.12282,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537793,77.12265,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53781,77.122573,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537929,77.122158,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.537958,77.122146,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.537982,77.122155,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538081,77.122213,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.538037,77.12217,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537589,77.123078,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537478,77.123104,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537406,77.123119,LED,1,40,144,40,40,,,,
,512906,NAJAFGARH,28.53726,77.123109,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537222,77.123405,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537242,77.12345,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537427,77.123475,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537658,77.123656,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537674,77.123703,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537672,77.12397,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53765,77.124128,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537653,77.124128,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53765,77.124129,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537639,77.12413,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53763,77.124131,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53762,77.12413,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537647,77.124137,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537544,77.124132,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537455,77.124151,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537369,77.124146,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537366,77.124147,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537331,77.124141,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537288,77.124141,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537187,77.124142,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53717,77.124141,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537309,77.124138,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537673,77.124307,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537648,77.124373,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53765,77.124376,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.53765,77.124376,LED,1,80,144,80,80,,,,
,512906,NAJAFGARH,28.537655,77.12446,LED,2,80X2,144,80,160,,,,
,512906,NAJAFGARH,28.537729,77.124363,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536823,77.122349,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536775,77.122364,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536706,77.122626,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536714,77.122925,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536718,77.123134,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536709,77.123146,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536711,77.123191,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536709,77.123295,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536704,77.123419,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536699,77.123447,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536697,77.123442,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536699,77.123441,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536699,77.123441,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536699,77.123441,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536699,77.123441,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536699,77.12344,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536749,77.123477,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536723,77.123527,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536722,77.123541,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536718,77.123812,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536715,77.123919,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536707,77.124067,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536707,77.124067,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536705,77.12425,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536702,77.124259,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536791,77.12228,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.53705,77.122128,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537137,77.122085,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.537177,77.122071,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.53727,77.122017,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537269,77.122016,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537277,77.121992,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.537277,77.121991,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537505,77.121959,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537505,77.121959,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537505,77.12196,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537505,77.12196,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.537588,77.121959,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537734,77.121925,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537828,77.121884,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537988,77.121767,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537027,77.122101,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.537005,77.122118,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536829,77.122057,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536824,77.122005,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536799,77.121924,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536799,77.121924,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536798,77.121924,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536788,77.121699,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536787,77.12164,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536785,77.121542,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536781,77.12154,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536613,77.121715,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536631,77.12142,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536618,77.121497,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536622,77.121938,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536625,77.122125,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536641,77.122234,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536638,77.122237,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536585,77.122266,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536447,77.122226,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536444,77.122211,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536428,77.121787,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536427,77.12179,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536424,77.12179,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536424,77.12179,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536458,77.121449,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.53645,77.121339,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536447,77.121338,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536444,77.121338,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536442,77.121392,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536054,77.121835,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536039,77.121678,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536052,77.121646,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536055,77.121519,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536069,77.12139,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536067,77.121136,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536083,77.121107,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536081,77.121346,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536082,77.121358,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536034,77.121913,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536058,77.122081,LED,2,80X2,144,80,160,,,,
,491998,NAJAFGARH,28.536078,77.122098,LED,1,80,144,80,80,,,,
,491998,NAJAFGARH,28.536074,77.122298,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536006,77.122575,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536025,77.122907,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536006,77.122956,LED,1,40,144,40,40,,,,
,512788,NAJAFGARH,28.536026,77.122964,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535943,77.122951,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53574,77.122946,LED,1,40,144,40,40,,,,
,512788,NAJAFGARH,28.535437,77.122938,LED,1,40,144,40,40,,,,
,512788,NAJAFGARH,28.535411,77.122788,LED,1,40,144,40,40,,,,
,512788,NAJAFGARH,28.535412,77.122764,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535418,77.122446,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535418,77.122448,LED,2,72x2,144,72,144,,,,
,512788,NAJAFGARH,28.535406,77.122186,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535409,77.122166,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535405,77.122146,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535407,77.12194,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535324,77.121941,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53516,77.121926,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53516,77.121926,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535429,77.121627,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535429,77.121627,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535432,77.12162,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535437,77.121577,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535439,77.121544,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535444,77.121346,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535447,77.121152,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535469,77.120938,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535467,77.120941,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535778,77.120862,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535771,77.120876,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535776,77.121186,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535784,77.121454,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535783,77.121456,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535766,77.121751,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535742,77.121841,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535778,77.122085,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535778,77.122109,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535766,77.122228,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53576,77.122367,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535763,77.122694,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536014,77.123032,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536009,77.123052,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535996,77.123106,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535857,77.123157,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535863,77.123124,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535662,77.123168,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535565,77.123164,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535436,77.123168,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53525,77.123167,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535226,77.123168,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535221,77.123167,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.535204,77.12316,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.534874,77.123155,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.53487,77.123158,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535905,77.123256,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535838,77.123358,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535769,77.123522,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535768,77.123521,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535688,77.123524,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535378,77.123507,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535252,77.123512,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535232,77.123509,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535113,77.123518,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535113,77.123519,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535662,77.123693,LED,1,70,144,70,70,,,,
,512788,NAJAFGARH,28.535479,77.124203,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.535657,77.123681,LED,1,70,144,70,70,,,,
,512788,NAJAFGARH,28.535855,77.123436,LED,1,70,144,70,70,,,,
,512788,NAJAFGARH,28.535962,77.123451,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536004,77.123438,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536213,77.12346,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536211,77.123517,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536198,77.123537,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.53622,77.123671,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536218,77.12368,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536203,77.123762,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536208,77.12377,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536225,77.123899,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536227,77.123947,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.536201,77.124021,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.5362,77.124022,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536234,77.123763,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536375,77.12345,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536365,77.12338,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536361,77.123328,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536388,77.123069,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536375,77.12296,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536387,77.122828,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536387,77.122809,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536396,77.122711,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536397,77.122693,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.5364,77.122677,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536397,77.122517,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536353,77.12257,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536324,77.122602,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536237,77.1227,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536237,77.122699,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536237,77.122699,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536195,77.122732,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536121,77.122827,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536121,77.122827,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536123,77.122827,LED,1,80,144,80,80,,,,
,512788,NAJAFGARH,28.536431,77.122406,LED,2,80X2,144,80,160,,,,
,512788,NAJAFGARH,28.536559,77.122308,LED,1,80,144,80,80,,,,
,491842,NAJAFGARH,28.497383,77.254228,LED,1,80,130,80,80,,,,
,491842,NAJAFGARH,28.497383,77.254228,LED,1,80,130,80,80,,,,
,491842,NAJAFGARH,28.600228,77.08859,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600292,77.088926,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600584,77.088686,LED,1,80,130,80,80,,,,
,491842,NAJAFGARH,28.600614,77.088881,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600618,77.089127,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600631,77.0893,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600595,77.089479,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600794,77.089329,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600855,77.089266,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600947,77.089117,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600913,77.088974,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.60098,77.088985,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.601017,77.088773,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601165,77.088805,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601247,77.088647,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601262,77.088489,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601274,77.088272,LED,4,140x4,130,140,560,,,,
,491842,NAJAFGARH,28.601243,77.087813,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601055,77.087607,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600832,77.087568,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600825,77.087871,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.6008,77.088134,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600822,77.088199,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601006,77.088231,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601117,77.08805,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601148,77.088604,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.60108,77.088609,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.601079,77.088611,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600896,77.088582,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600847,77.088457,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600797,77.088395,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600643,77.087683,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600565,77.087734,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600557,77.08798,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600724,77.087952,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600603,77.08819,LED,1,70,130,70,70,,,,
,491842,NAJAFGARH,28.600562,77.088186,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600798,77.0886,LED,1,40,130,40,40,,,,
,491842,NAJAFGARH,28.600613,77.088599,LED,1,40,130,40,40,,,,
,491873,NAJAFGARH,28.58551,77.042637,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.585512,77.042639,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599321,77.065979,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599178,77.066092,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599018,77.0662,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.598812,77.066329,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599063,77.066664,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599069,77.066668,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.59907,77.066668,LED,1,40,147,40,40,,,,
,491873,NAJAFGARH,28.59928,77.066412,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599286,77.066395,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599559,77.066173,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599564,77.066172,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599679,77.066163,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599726,77.066056,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599728,77.066056,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.59973,77.066055,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599685,77.065929,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599683,77.065922,LED,4,140x4,147,140,560,,,,
,491873,NAJAFGARH,28.59968,77.065917,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599545,77.065736,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599825,77.065496,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.600304,77.066144,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.600303,77.066147,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.600291,77.066155,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.600253,77.066194,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.600249,77.066201,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599973,77.06653,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599973,77.066529,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599974,77.066528,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599974,77.066527,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599825,77.066675,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599431,77.066958,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599426,77.066972,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599424,77.066979,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599422,77.066985,LED,1,40,147,40,40,,,,
,491873,NAJAFGARH,28.59934,77.066949,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599133,77.066839,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599134,77.066839,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599136,77.066838,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599138,77.066838,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599139,77.066838,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599139,77.066836,LED,1,80,147,80,80,,,,
,491873,NAJAFGARH,28.599267,77.066154,LED,1,80,147,80,80,,,,
