SR. NO.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,
4,WZ-122-007,WEST,28.643129,77.035631,LED,1,72,122,72,72,,,
5,WZ-122-007,WEST,28.643079,77.035744,LED,1,72,122,72,72,,,
6,WZ-122-007,WEST,28.642936,77.0358,LED,1,72,122,72,72,,,
7,WZ-122-007,WEST,28.642711,77.035868,LED,1,72,122,72,72,,,
8,WZ-122-007,WEST,28.642728,77.035951,LED,1,72,122,72,72,,,
9,WZ-122-007,WEST,28.643005,77.035934,LED,1,72,122,72,72,,,
10,WZ-122-007,WEST,28.643217,77.035942,LED,1,72,122,72,72,,,
11,WZ-122-007,WEST,28.643482,77.035976,LED,1,72,122,72,72,,,
12,WZ-122-007,WEST,28.643291,77.035942,LED,1,72,122,72,72,,,
13,WZ-122-007,WEST,28.643244,77.036217,LED,1,72,122,72,72,,,
14,WZ-122-007,WEST,28.643038,77.036162,LED,1,72,122,72,72,,,
15,WZ-122-007,WEST,28.642843,77.036159,LED,1,72,122,72,72,,,
16,WZ-122-007,WEST,28.642752,77.036155,LED,1,72,122,72,72,,,
17,WZ-122-007,WEST,28.642753,77.036155,LED,1,72,122,72,72,,,
18,WZ-122-007,WEST,28.642722,77.036315,LED,1,72,122,72,72,,,
19,WZ-122-007,WEST,28.642725,77.036314,LED,1,72,122,72,72,,,
20,WZ-122-007,WEST,28.642845,77.036371,LED,1,72,122,72,72,,,
21,WZ-122-007,WEST,28.642889,77.036358,LED,1,72,122,72,72,,,
22,WZ-122-007,WEST,28.642952,77.036348,LED,1,72,122,72,72,,,
23,WZ-122-007,WEST,28.64308,77.036394,LED,1,72,122,72,72,,,
24,WZ-122-007,WEST,28.643236,77.036428,LED,1,72,122,72,72,,,
25,WZ-122-007,WEST,28.643366,77.03647,LED,1,72,122,72,72,,,
26,WZ-122-007,WEST,28.643506,77.036372,LED,1,72,122,72,72,,,
27,WZ-122-007,WEST,28.643824,77.036349,LED,1,72,122,72,72,,,
28,WZ-122-007,WEST,28.643825,77.036349,LED,1,72,122,72,72,,,
29,WZ-122-007,WEST,28.643826,77.036348,LED,1,72,122,72,72,,,
30,WZ-122-007,WEST,28.643866,77.035984,LED,1,72,122,72,72,,,
31,WZ-122-007,WEST,28.643894,77.035777,LED,1,72,122,72,72,,,
32,WZ-122-007,WEST,28.643847,77.035426,LED,1,72,122,72,72,,,
33,WZ-122-007,WEST,28.643644,77.035412,LED,1,72,122,72,72,,,
34,WZ-122-007,WEST,28.643652,77.035353,LED,1,72,122,72,72,,,
35,WZ-122-007,WEST,28.643644,77.035003,LED,1,72,122,72,72,,,
36,WZ-122-007,WEST,28.643435,77.034963,LED,1,72,122,72,72,,,
37,WZ-122-007,WEST,28.643434,77.034964,LED,1,72,122,72,72,,,
38,WZ-122-007,WEST,28.643451,77.034865,LED,1,72,122,72,72,,,
39,WZ-122-007,WEST,28.643493,77.035134,LED,1,72,122,72,72,,,
40,WZ-122-007,WEST,28.643496,77.035174,LED,1,72,122,72,72,,,
41,WZ-122-007,WEST,28.643442,77.035433,LED,1,72,122,72,72,,,
42,WZ-122-007,WEST,28.643303,77.03544,LED,1,72,122,72,72,,,
43,WZ-122-007,WEST,28.643302,77.035439,LED,1,72,122,72,72,,,
44,WZ-122-007,WEST,28.643291,77.035414,LED,1,72,122,72,72,,,
45,WZ-122-007,WEST,28.643272,77.035412,LED,1,72,122,72,72,,,
46,WZ-122-007,WEST,28.643076,77.035418,LED,1,72,122,72,72,,,
47,WZ-122-007,WEST,28.64287,77.035419,LED,1,72,122,72,72,,,
48,WZ-122-007,WEST,28.642842,77.035391,LED,1,72,122,72,72,,,
49,WZ-122-007,WEST,28.64288,77.035083,LED,1,72,122,72,72,,,
50,WZ-122-007,WEST,28.642873,77.034898,LED,1,72,122,72,72,,,
51,WZ-122-007,WEST,28.642894,77.034558,LED,1,72,122,72,72,,,
52,WZ-122-007,WEST,28.642887,77.034333,LED,1,72,122,72,72,,,
53,WZ-122-007,WEST,28.642746,77.034319,LED,1,72,122,72,72,,,
54,WZ-122-007,WEST,28.642618,77.034544,LED,1,72,122,72,72,,,
55,WZ-122-007,WEST,28.642502,77.034793,LED,1,72,122,72,72,,,
56,WZ-122-007,WEST,28.642439,77.035086,LED,1,72,122,72,72,,,
57,WZ-122-007,WEST,28.642413,77.035366,LED,1,72,122,72,72,,,
58,WZ-122-007,WEST,28.642387,77.03538,LED,1,72,122,72,72,,,
59,WZ-122-007,WEST,28.642633,77.035402,LED,1,72,122,72,72,,,
60,WZ-122-007,WEST,28.642834,77.035394,LED,1,72,122,72,72,,,
1,WZ-103-025,WEST,28.671855,77.119582,LED,1,72,103,72,72,,,
2,WZ-103-025,WEST,28.67179,77.119654,LED,1,72,103,72,72,,,
3,WZ-103-025,WEST,28.671693,77.119771,LED,2,72X2,103,72,144,,,
4,WZ-103-025,WEST,28.671564,77.11987,LED,1,72,103,72,72,,,
5,WZ-103-025,WEST,28.671505,77.119911,LED,2,72X2,103,72,144,,,
6,WZ-103-025,WEST,28.671464,77.119958,LED,1,72,103,72,72,,,
7,WZ-103-025,WEST,28.671433,77.120006,LED,1,72,103,72,72,,,
8,WZ-103-025,WEST,28.671432,77.120007,LED,1,72,103,72,72,,,
9,WZ-103-025,WEST,28.671368,77.120172,LED,1,72,103,72,72,,,
11,WZ-103-025,WEST,28.67119,77.120341,LED,1,72,103,72,72,,,
12,WZ-103-025,WEST,28.671185,77.120345,LED,2,72X2,103,72,144,,,
13,WZ-103-025,WEST,28.67154,77.120536,LED,1,72,103,72,72,,,
14,WZ-103-025,WEST,28.671677,77.120592,LED,2,45X2,103,45,90,,,
15,WZ-103-025,WEST,28.671283,77.119585,LED,1,72,103,72,72,,,
16,WZ-103-025,WEST,28.671703,77.119627,LED,1,72,103,72,72,,,
17,WZ-103-025,WEST,28.671705,77.119078,LED,1,72,103,72,72,,,
18,WZ-103-025,WEST,28.671681,77.118947,LED,1,72,103,72,72,,,
19,WZ-103-025,WEST,28.671563,77.118805,LED,1,72,103,72,72,,,
20,WZ-103-025,WEST,28.671469,77.118668,LED,1,72,103,72,72,,,
21,WZ-103-025,WEST,28.67146,77.118501,LED,1,72,103,72,72,,,
22,WZ-103-025,WEST,28.671432,77.118434,LED,1,72,103,72,72,,,
23,WZ-103-025,WEST,28.671321,77.118256,LED,1,72,103,72,72,,,
24,WZ-103-025,WEST,28.671466,77.118438,LED,1,72,103,72,72,,,
25,WZ-103-025,WEST,28.671517,77.118421,LED,1,72,103,72,72,,,
26,WZ-103-025,WEST,28.671489,77.118393,LED,1,72,103,72,72,,,
28,WZ-103-025,WEST,28.671806,77.119442,LED,1,72,103,72,72,,,
29,WZ-103-025,WEST,28.671771,77.119457,LED,1,72,103,72,72,,,
31,WZ-103-025,WEST,28.6721,77.119695,LED,1,72,103,72,72,,,
32,WZ-103-025,WEST,28.672086,77.119933,LED,2,72X2,103,72,144,,,
33,WZ-103-025,WEST,28.672315,77.11983,LED,2,72X2,103,72,144,,,
34,WZ-103-025,WEST,28.67228,77.119841,LED,1,72,103,72,72,,,
35,WZ-103-025,WEST,28.672252,77.120018,LED,1,72,103,72,72,,,
36,WZ-103-025,WEST,28.672332,77.119858,LED,1,72,103,72,72,,,
37,WZ-103-025,WEST,28.672383,77.119946,LED,1,72,103,72,72,,,
38,WZ-103-025,WEST,28.67234,77.120105,LED,1,72,103,72,72,,,
39,WZ-103-025,WEST,28.672265,77.120218,LED,1,72,103,72,72,,,
40,WZ-103-025,WEST,28.672287,77.12023,LED,1,72,103,72,72,,,
41,WZ-103-025,WEST,28.672219,77.120425,LED,1,72,103,72,72,,,
42,WZ-103-025,WEST,28.672516,77.11991,LED,1,72,103,72,72,,,
43,WZ-103-025,WEST,28.672574,77.119789,LED,1,35,103,35,35,,,
44,WZ-103-025,WEST,28.672647,77.119596,LED,1,35,103,35,35,,,
45,WZ-103-025,WEST,28.672674,77.119914,LED,2,72X2,103,72,144,,,
46,WZ-103-025,WEST,28.672769,77.120043,LED,1,72,103,72,72,,,
47,WZ-103-025,WEST,28.672954,77.120084,LED,2,72X2,103,72,144,,,
48,WZ-103-025,WEST,28.673002,77.120087,LED,1,72,103,72,72,,,
49,WZ-103-025,WEST,28.67309,77.119892,LED,1,72,103,72,72,,,
50,WZ-103-025,WEST,28.673057,77.119796,LED,1,72,103,72,72,,,
51,WZ-103-025,WEST,28.673185,77.119766,LED,1,72,103,72,72,,,
53,WZ-103-025,WEST,28.673172,77.119579,LED,1,72,103,72,72,,,
54,WZ-103-025,WEST,28.673159,77.119563,LED,1,72,103,72,72,,,
55,WZ-103-025,WEST,28.673122,77.119594,LED,1,72,103,72,72,,,
56,WZ-103-025,WEST,28.673227,77.119789,LED,2,72X2,103,72,144,,,
57,WZ-103-025,WEST,28.673224,77.120002,LED,1,72,103,72,72,,,
58,WZ-103-025,WEST,28.673452,77.119536,LED,1,72,103,72,72,,,
59,WZ-103-025,WEST,28.673152,77.120357,LED,2,72X2,103,72,144,,,
60,WZ-103-025,WEST,28.673279,77.120607,LED,1,72,103,72,72,,,
1,WZ-125-026,WEST,28.629284,77.033949,LED,1,72,125,72,72,,,
2,WZ-125-026,WEST,28.629364,77.033672,LED,1,72,125,72,72,,,
3,WZ-125-026,WEST,28.629413,77.033479,LED,1,72,125,72,72,,,
4,WZ-125-026,WEST,28.629444,77.033253,LED,1,72,125,72,72,,,
5,WZ-125-026,WEST,28.629427,77.033396,LED,1,72,125,72,72,,,
6,WZ-125-026,WEST,28.627684,77.03429,LED,1,72,125,72,72,,,
7,WZ-125-026,WEST,28.627849,77.034307,LED,1,72,125,72,72,,,
8,WZ-125-026,WEST,28.627968,77.034301,LED,1,72,125,72,72,,,
9,WZ-125-026,WEST,28.628017,77.034282,LED,1,72,125,72,72,,,
10,WZ-125-026,WEST,28.628125,77.034341,LED,1,72,125,72,72,,,
11,WZ-125-026,WEST,28.62818,77.034372,LED,1,72,125,72,72,,,
12,WZ-125-026,WEST,28.628295,77.034427,LED,1,72,125,72,72,,,
13,WZ-125-026,WEST,28.628504,77.034458,LED,1,72,125,72,72,,,
14,WZ-125-026,WEST,28.629032,77.034479,LED,1,72,125,72,72,,,
15,WZ-125-026,WEST,28.629133,77.034323,LED,1,72,125,72,72,,,
16,WZ-125-026,WEST,28.629176,77.03429,LED,1,72,125,72,72,,,
17,WZ-125-026,WEST,28.629269,77.034141,LED,1,72,125,72,72,,,
18,WZ-125-026,WEST,28.629348,77.03398,LED,1,72,125,72,72,,,
19,WZ-125-026,WEST,28.629218,77.033916,LED,1,72,125,72,72,,,
20,WZ-125-026,WEST,28.629141,77.033881,LED,1,72,125,72,72,,,
21,WZ-125-026,WEST,28.629044,77.034031,LED,1,72,125,72,72,,,
22,WZ-125-026,WEST,28.629036,77.034051,LED,1,72,125,72,72,,,
23,WZ-125-026,WEST,28.629041,77.034206,LED,1,72,125,72,72,,,
24,WZ-125-026,WEST,28.629105,77.034223,LED,1,72,125,72,72,,,
25,WZ-125-026,WEST,28.629108,77.034228,LED,1,72,125,72,72,,,
26,WZ-125-026,WEST,28.629206,77.034238,LED,1,72,125,72,72,,,
27,WZ-125-026,WEST,28.629225,77.034213,LED,1,72,125,72,72,,,
28,WZ-125-026,WEST,28.629286,77.034057,LED,1,72,125,72,72,,,
29,WZ-125-026,WEST,28.629328,77.033935,LED,1,72,125,72,72,,,
30,WZ-125-026,WEST,28.629454,77.03354,LED,1,72,125,72,72,,,
31,WZ-125-026,WEST,28.62938,77.033496,LED,1,72,125,72,72,,,
32,WZ-125-026,WEST,28.629238,77.033448,LED,1,72,125,72,72,,,
33,WZ-125-026,WEST,28.629109,77.033405,LED,1,72,125,72,72,,,
34,WZ-125-026,WEST,28.629015,77.033381,LED,1,72,125,72,72,,,
35,WZ-125-026,WEST,28.628897,77.033401,LED,1,72,125,72,72,,,
36,WZ-125-026,WEST,28.62894,77.033383,LED,1,72,125,72,72,,,
37,WZ-125-026,WEST,28.62897,77.03357,LED,1,72,125,72,72,,,
38,WZ-125-026,WEST,28.629042,77.033545,LED,1,72,125,72,72,,,
39,WZ-125-026,WEST,28.629148,77.033592,LED,1,72,125,72,72,,,
40,WZ-125-026,WEST,28.629476,77.033421,LED,1,72,125,72,72,,,
41,WZ-125-026,WEST,28.6295,77.033278,LED,1,72,125,72,72,,,
42,WZ-125-026,WEST,28.629508,77.033214,LED,1,72,125,72,72,,,
43,WZ-125-026,WEST,28.629526,77.033146,LED,1,72,125,72,72,,,
44,WZ-125-026,WEST,28.629543,77.033079,LED,1,72,125,72,72,,,
45,WZ-125-026,WEST,28.629538,77.033065,LED,1,72,125,72,72,,,
46,WZ-125-026,WEST,28.629543,77.033058,LED,1,72,125,72,72,,,
47,WZ-125-026,WEST,28.629566,77.033053,LED,2,72X2,125,72,144,,,
48,WZ-125-026,WEST,28.629555,77.033105,LED,1,72,125,72,72,,,
49,WZ-125-026,WEST,28.629541,77.033195,LED,1,72,125,72,72,,,
50,WZ-125-026,WEST,28.629533,77.033403,LED,1,72,125,72,72,,,
51,WZ-125-026,WEST,28.629533,77.033415,LED,1,72,125,72,72,,,
52,WZ-125-026,WEST,28.629524,77.033469,LED,1,72,125,72,72,,,
53,WZ-125-026,WEST,28.629502,77.033629,LED,1,72,125,72,72,,,
54,WZ-125-026,WEST,28.629498,77.03364,LED,1,72,125,72,72,,,
55,WZ-125-026,WEST,28.629431,77.03382,LED,1,72,125,72,72,,,
1,WZ-125-020,WEST,28.622665,77.034637,LED,1,72,125,72,72,,,
2,WZ-125-020,WEST,28.622662,77.034631,LED,1,72,125,72,72,,,
3,WZ-125-020,WEST,28.622697,77.034693,LED,1,72,125,72,72,,,
4,WZ-125-020,WEST,28.623016,77.034761,LED,1,72,125,72,72,,,
5,WZ-125-020,WEST,28.623207,77.034733,LED,1,72,125,72,72,,,
6,WZ-125-020,WEST,28.623238,77.034717,LED,1,72,125,72,72,,,
7,WZ-125-020,WEST,28.623502,77.034674,LED,1,72,125,72,72,,,
8,WZ-125-020,WEST,28.623684,77.03476,LED,1,72,125,72,72,,,
9,WZ-125-020,WEST,28.623849,77.034729,LED,1,72,125,72,72,,,
10,WZ-125-020,WEST,28.623777,77.034732,LED,1,72,125,72,72,,,
11,WZ-125-020,WEST,28.623603,77.034732,LED,2,72X2,125,72,144,,,
12,WZ-125-020,WEST,28.623314,77.034993,LED,1,72,125,72,72,,,
13,WZ-125-020,WEST,28.623314,77.035026,LED,1,72,125,72,72,,,
14,WZ-125-020,WEST,28.623298,77.035024,LED,1,72,125,72,72,,,
15,WZ-125-020,WEST,28.623134,77.034953,LED,1,72,125,72,72,,,
16,WZ-125-020,WEST,28.62305,77.034947,LED,1,72,125,72,72,,,
17,WZ-125-020,WEST,28.622778,77.034862,LED,1,72,125,72,72,,,
18,WZ-125-020,WEST,28.622768,77.03487,LED,1,72,125,72,72,,,
19,WZ-125-020,WEST,28.622787,77.035058,LED,1,72,125,72,72,,,
20,WZ-125-020,WEST,28.622794,77.035062,LED,1,72,125,72,72,,,
21,WZ-125-020,WEST,28.623015,77.035095,LED,1,72,125,72,72,,,
22,WZ-125-020,WEST,28.623272,77.035091,LED,1,72,125,72,72,,,
23,WZ-125-020,WEST,28.623347,77.035332,LED,1,72,125,72,72,,,
24,WZ-125-020,WEST,28.623351,77.035335,LED,1,72,125,72,72,,,
25,WZ-125-020,WEST,28.623185,77.035334,LED,1,72,125,72,72,,,
26,WZ-125-020,WEST,28.622956,77.035262,LED,1,72,125,72,72,,,
27,WZ-125-020,WEST,28.622829,77.035226,LED,1,72,125,72,72,,,
28,WZ-125-020,WEST,28.622814,77.035219,LED,1,72,125,72,72,,,
29,WZ-125-020,WEST,28.62281,77.035227,LED,1,72,125,72,72,,,
30,WZ-125-020,WEST,28.622765,77.035378,LED,1,72,125,72,72,,,
31,WZ-125-020,WEST,28.622705,77.035434,LED,1,72,125,72,72,,,
32,WZ-125-020,WEST,28.622608,77.035506,LED,1,72,125,72,72,,,
33,WZ-125-020,WEST,28.622292,77.035525,LED,1,72,125,72,72,,,
34,WZ-125-020,WEST,28.622071,77.035491,LED,1,72,125,72,72,,,
35,WZ-125-020,WEST,28.622059,77.035487,LED,1,72,125,72,72,,,
36,WZ-125-020,WEST,28.622258,77.035467,LED,1,72,125,72,72,,,
37,WZ-125-020,WEST,28.622574,77.035506,LED,1,72,125,72,72,,,
38,WZ-125-020,WEST,28.62263,77.035472,LED,1,72,125,72,72,,,
39,WZ-125-020,WEST,28.622722,77.035444,LED,1,72,125,72,72,,,
40,WZ-125-020,WEST,28.622764,77.035688,LED,1,72,125,72,72,,,
41,WZ-125-020,WEST,28.62315,77.035827,LED,1,72,125,72,72,,,
42,WZ-125-020,WEST,28.623157,77.035825,LED,1,72,125,72,72,,,
43,WZ-125-020,WEST,28.623322,77.035757,LED,1,72,125,72,72,,,
44,WZ-125-020,WEST,28.623326,77.035779,LED,1,72,125,72,72,,,
45,WZ-125-020,WEST,28.623329,77.036029,LED,1,72,125,72,72,,,
46,WZ-125-020,WEST,28.623138,77.035987,LED,1,72,125,72,72,,,
47,WZ-125-020,WEST,28.622973,77.035973,LED,1,72,125,72,72,,,
48,WZ-125-020,WEST,28.622771,77.036021,LED,1,72,125,72,72,,,
49,WZ-125-020,WEST,28.622766,77.036033,LED,1,72,125,72,72,,,
50,WZ-125-020,WEST,28.622764,77.036234,LED,1,72,125,72,72,,,
51,WZ-125-020,WEST,28.623089,77.036307,LED,1,72,125,72,72,,,
52,WZ-125-020,WEST,28.623219,77.036278,LED,1,72,125,72,72,,,
53,WZ-125-020,WEST,28.623247,77.036395,LED,1,72,125,72,72,,,
54,WZ-125-020,WEST,28.623273,77.036563,LED,1,72,125,72,72,,,
55,WZ-125-020,WEST,28.6233,77.036676,LED,1,72,125,72,72,,,
56,WZ-125-020,WEST,28.623085,77.036747,LED,1,72,125,72,72,,,
57,WZ-125-020,WEST,28.622976,77.036736,LED,1,72,125,72,72,,,
58,WZ-125-020,WEST,28.622827,77.036732,LED,1,72,125,72,72,,,
59,WZ-125-020,WEST,28.622776,77.036728,LED,1,72,125,72,72,,,
60,WZ-125-020,WEST,28.622747,77.036598,LED,1,72,125,72,72,,,
61,WZ-125-020,WEST,28.622714,77.036538,LED,1,72,125,72,72,,,
62,WZ-125-020,WEST,28.622553,77.036553,LED,1,72,125,72,72,,,
63,WZ-125-020,WEST,28.622436,77.036559,LED,1,72,125,72,72,,,
64,WZ-125-020,WEST,28.622416,77.036562,LED,1,72,125,72,72,,,
65,WZ-125-020,WEST,28.62234,77.036567,LED,1,72,125,72,72,,,
66,WZ-125-020,WEST,28.62235,77.03657,LED,1,72,125,72,72,,,
67,WZ-125-020,WEST,28.622466,77.036596,LED,1,72,125,72,72,,,
68,WZ-125-020,WEST,28.622775,77.0363,LED,1,72,125,72,72,,,
69,WZ-125-020,WEST,28.622758,77.036104,LED,1,72,125,72,72,,,
70,WZ-125-020,WEST,28.622763,77.036073,LED,1,72,125,72,72,,,
71,WZ-125-020,WEST,28.622781,77.035866,LED,1,72,125,72,72,,,
72,WZ-125-020,WEST,28.622734,77.035576,LED,1,72,125,72,72,,,
73,WZ-125-020,WEST,28.622746,77.035394,LED,1,72,125,72,72,,,
74,WZ-125-020,WEST,28.622751,77.035381,LED,1,72,125,72,72,,,
75,WZ-125-020,WEST,28.622783,77.035172,LED,1,72,125,72,72,,,
76,WZ-125-020,WEST,28.622785,77.035163,LED,1,72,125,72,72,,,
77,WZ-125-020,WEST,28.622782,77.035011,LED,1,72,125,72,72,,,
78,WZ-125-020,WEST,28.622785,77.035005,LED,1,72,125,72,72,,,
79,WZ-125-020,WEST,28.622725,77.034492,LED,1,72,125,72,72,,,
80,WZ-125-020,WEST,28.622697,77.034413,LED,1,72,125,72,72,,,
81,WZ-125-020,WEST,28.62271,77.034414,LED,1,72,125,72,72,,,
82,WZ-125-020,WEST,28.622956,77.03436,LED,1,72,125,72,72,,,
83,WZ-125-020,WEST,28.623019,77.034369,LED,1,72,125,72,72,,,
84,WZ-125-020,WEST,28.623245,77.034366,LED,1,72,125,72,72,,,
85,WZ-125-020,WEST,28.62283,77.034246,LED,1,72,125,72,72,,,
86,WZ-125-020,WEST,28.622794,77.034092,LED,1,72,125,72,72,,,
87,WZ-125-020,WEST,28.62278,77.034028,LED,1,72,125,72,72,,,
88,WZ-125-020,WEST,28.622781,77.034011,LED,1,72,125,72,72,,,
89,WZ-125-020,WEST,28.622929,77.034002,LED,1,72,125,72,72,,,
90,WZ-125-020,WEST,28.623165,77.033934,LED,1,72,125,72,72,,,
91,WZ-125-020,WEST,28.623358,77.033967,LED,1,72,125,72,72,,,
92,WZ-125-020,WEST,28.623442,77.033941,LED,1,72,125,72,72,,,
93,WZ-125-020,WEST,28.623523,77.033938,LED,1,72,125,72,72,,,
94,WZ-125-020,WEST,28.62353,77.033739,LED,1,72,125,72,72,,,
95,WZ-125-020,WEST,28.623427,77.03363,LED,1,72,125,72,72,,,
96,WZ-125-020,WEST,28.623424,77.033599,LED,1,72,125,72,72,,,
97,WZ-125-020,WEST,28.623542,77.033296,LED,1,72,125,72,72,,,
98,WZ-125-020,WEST,28.623567,77.03295,LED,1,72,125,72,72,,,
99,WZ-125-020,WEST,28.623532,77.032675,LED,1,72,125,72,72,,,
100,WZ-125-020,WEST,28.623322,77.03259,LED,1,72,125,72,72,,,
101,WZ-125-020,WEST,28.6233,77.032584,LED,1,72,125,72,72,,,
102,WZ-125-020,WEST,28.623109,77.032567,LED,1,72,125,72,72,,,
103,WZ-125-020,WEST,28.622921,77.03257,LED,1,72,125,72,72,,,
104,WZ-125-020,WEST,28.622886,77.03258,LED,1,72,125,72,72,,,
105,WZ-125-020,WEST,28.622759,77.032563,LED,1,72,125,72,72,,,
106,WZ-125-020,WEST,28.622776,77.032569,LED,1,72,125,72,72,,,
107,WZ-125-020,WEST,28.622789,77.032779,LED,1,72,125,72,72,,,
108,WZ-125-020,WEST,28.622793,77.032931,LED,1,72,125,72,72,,,
109,WZ-125-020,WEST,28.622796,77.033033,LED,1,72,125,72,72,,,
110,WZ-125-020,WEST,28.622789,77.033122,LED,1,72,125,72,72,,,
111,WZ-125-020,WEST,28.622787,77.033147,LED,1,72,125,72,72,,,
112,WZ-125-020,WEST,28.622804,77.033389,LED,1,72,125,72,72,,,
113,WZ-125-020,WEST,28.622791,77.033614,LED,1,72,125,72,72,,,
114,WZ-125-020,WEST,28.62278,77.033852,LED,1,72,125,72,72,,,
115,WZ-125-020,WEST,28.622785,77.033892,LED,1,72,125,72,72,,,
116,WZ-125-020,WEST,28.622767,77.034017,LED,1,72,125,72,72,,,
117,WZ-125-020,WEST,28.622774,77.034251,LED,1,72,125,72,72,,,
118,WZ-125-020,WEST,28.622775,77.03427,LED,1,72,125,72,72,,,
119,WZ-125-020,WEST,28.622776,77.034279,LED,1,72,125,72,72,,,
120,WZ-125-020,WEST,28.622756,77.034353,LED,1,72,125,72,72,,,
121,WZ-125-020,WEST,28.622507,77.034683,LED,1,72,125,72,72,,,
122,WZ-125-020,WEST,28.622233,77.034654,LED,1,72,125,72,72,,,
123,WZ-125-020,WEST,28.622039,77.034686,LED,1,72,125,72,72,,,
124,WZ-125-020,WEST,28.621897,77.034682,LED,1,72,125,72,72,,,
1,WZ-103-010,WEST,28.661823,77.120727,LED,1,72,103,72,72,,,
2,WZ-103-010,WEST,28.661816,77.12073,LED,1,72,103,72,72,,,
3,WZ-103-010,WEST,28.661802,77.120713,LED,1,72,103,72,72,,,
4,WZ-103-010,WEST,28.661643,77.120626,LED,1,72,103,72,72,,,
5,WZ-103-010,WEST,28.661637,77.12062,LED,1,72,103,72,72,,,
6,WZ-103-010,WEST,28.661858,77.120583,LED,1,72,103,72,72,,,
7,WZ-103-010,WEST,28.661954,77.12049,LED,1,72,103,72,72,,,
8,WZ-103-010,WEST,28.662054,77.12039,LED,1,72,103,72,72,,,
9,WZ-103-010,WEST,28.6621,77.12027,LED,1,72,103,72,72,,,
10,WZ-103-010,WEST,28.662104,77.120264,LED,1,72,103,72,72,,,
11,WZ-103-010,WEST,28.662122,77.120244,LED,1,72,103,72,72,,,
12,WZ-103-010,WEST,28.662166,77.120147,LED,1,72,103,72,72,,,
13,WZ-103-010,WEST,28.662168,77.120144,LED,1,72,103,72,72,,,
14,WZ-103-010,WEST,28.662172,77.120124,LED,1,72,103,72,72,,,
15,WZ-103-010,WEST,28.662092,77.120099,LED,1,72,103,72,72,,,
16,WZ-103-010,WEST,28.661973,77.120071,LED,1,72,103,72,72,,,
17,WZ-103-010,WEST,28.661832,77.120001,LED,1,72,103,72,72,,,
18,WZ-103-010,WEST,28.661723,77.119997,LED,1,72,103,72,72,,,
19,WZ-103-010,WEST,28.661684,77.119907,LED,1,72,103,72,72,,,
20,WZ-103-010,WEST,28.661575,77.119994,LED,1,72,103,72,72,,,
21,WZ-103-010,WEST,28.661582,77.12012,LED,1,72,103,72,72,,,
22,WZ-103-010,WEST,28.661602,77.120195,LED,1,72,103,72,72,,,
23,WZ-103-010,WEST,28.661607,77.120214,LED,1,72,103,72,72,,,
24,WZ-103-010,WEST,28.66154,77.120382,LED,1,72,103,72,72,,,
25,WZ-103-010,WEST,28.661432,77.12048,LED,1,72,103,72,72,,,
26,WZ-103-010,WEST,28.661569,77.120614,LED,1,72,103,72,72,,,
27,WZ-103-010,WEST,28.661585,77.120618,LED,1,72,103,72,72,,,
28,WZ-103-010,WEST,28.661732,77.120689,LED,1,72,103,72,72,,,
1,WZ-103-011,WEST,28.661983,77.128425,LED,1,72,103,72,72,,,
2,WZ-103-011,WEST,28.661985,77.12842,LED,1,72,103,72,72,,,
3,WZ-103-011,WEST,28.661987,77.128434,LED,1,72,103,72,72,,,
4,WZ-103-011,WEST,28.661925,77.128557,LED,1,72,103,72,72,,,
5,WZ-103-011,WEST,28.66187,77.128758,LED,1,72,103,72,72,,,
6,WZ-103-011,WEST,28.661827,77.128807,LED,1,72,103,72,72,,,
7,WZ-103-011,WEST,28.661787,77.128823,LED,1,72,103,72,72,,,
8,WZ-103-011,WEST,28.661726,77.128769,LED,1,72,103,72,72,,,
9,WZ-103-011,WEST,28.661691,77.128758,LED,1,72,103,72,72,,,
10,WZ-103-011,WEST,28.661593,77.128838,LED,1,72,103,72,72,,,
11,WZ-103-011,WEST,28.661581,77.12883,LED,1,72,103,72,72,,,
12,WZ-103-011,WEST,28.661463,77.128818,LED,1,72,103,72,72,,,
13,WZ-103-011,WEST,28.661376,77.128775,LED,1,72,103,72,72,,,
14,WZ-103-011,WEST,28.661253,77.128724,LED,1,72,103,72,72,,,
15,WZ-103-011,WEST,28.661232,77.12862,LED,1,72,103,72,72,,,
16,WZ-103-011,WEST,28.661216,77.128527,LED,1,72,103,72,72,,,
17,WZ-103-011,WEST,28.661296,77.128555,LED,1,72,103,72,72,,,
18,WZ-103-011,WEST,28.66134,77.128494,LED,1,72,103,72,72,,,
19,WZ-103-011,WEST,28.661408,77.128349,LED,1,72,103,72,72,,,
20,WZ-103-011,WEST,28.661542,77.128233,LED,1,72,103,72,72,,,
21,WZ-103-011,WEST,28.661596,77.128307,LED,1,72,103,72,72,,,
22,WZ-103-011,WEST,28.661597,77.128308,LED,1,72,103,72,72,,,
23,WZ-103-011,WEST,28.661696,77.128421,LED,1,72,103,72,72,,,
24,WZ-103-011,WEST,28.661791,77.128331,LED,1,72,103,72,72,,,
25,WZ-103-011,WEST,28.661808,77.128318,LED,1,72,103,72,72,,,
26,WZ-103-011,WEST,28.661813,77.128302,LED,1,72,103,72,72,,,
27,WZ-103-011,WEST,28.661773,77.128225,LED,1,72,103,72,72,,,
